CustomerId;Profit;Recency;Frequency;Monetary;Variance
1;187;63;1;2349,06;2
2;96;10;6;922,62;4
3;47;35;4;881,22;3
4;294;5;1;3815,16;2
5;732;4;31;41868,11;29
6;37;16;3;2053,4;8
7;264;11;12;4861,49;12
8;188;4;8;4010,69;9
9;316;4;21;12636,8;20
10;528;5;18;17741,24;26
11;87;18;6;5542,36;10
12;58457;11;13;25965518,2;110
13;445;5;14;24193,52;23
14;434;17;8;35265,23;24
15;247;25;8;17161,14;17
16;111;4;7;1551,15;3
17;320;5;15;7345,29;20
18;18;7;2;339,1;5
19;36;40;7;774,44;5
20;26;59;3;251,98;2
21;156;32;4;11455,86;10
22;30;42;1;139,76;1
23;251;5;13;5230,98;19
24;42;41;3;351,06;3
25;94;5;5;2265,75;10
26;957;3;22;35229,52;34
27;3858;3;52;114028,95;41
28;304;47;4;5845,68;6
29;79;3;9;750,84;8
30;39;18;3;602,63;2
31;36;2;2;537;2
32;123;4;6;3461,61;12
33;115;55;3;5802,5;14
34;56;32;5;427,31;4
35;6;63;1;49,99;1
36;39;2;8;1195,41;6
37;548;2;14;23431,21;20
38;251;5;10;6580,88;8
39;597;3;27;29915,37;26
40;270;24;13;3499,2;9
41;638;6;16;37273,21;39
42;33273;3;62;3059273,52;96
43;8;40;1;75,48;1
44;8;63;1;75,48;1
45;435;4;14;20953,36;21
46;516;6;14;14164,84;22
47;29;3;4;295,92;4
48;314;3;15;8863,08;14
49;356;4;17;13089,16;19
50;191;6;3;1979,79;7
51;67669;1;77;31966480,14;134
52;667;1;3;55547,8;14
53;800;3;11;39119,06;25
54;414;5;25;65626,88;25
55;48;33;2;349,92;1
56;1192;4;24;93531,57;46
57;40;12;4;130,72;1
58;271;3;22;4340,73;8
59;442;5;13;18207,51;12
60;17;21;5;295,21;3
61;28;7;7;683,35;6
62;174;5;12;5437,51;15
63;318;3;13;9916,47;12
64;18;18;2;290,4;3
65;95;4;24;2178,73;13
66;145;10;9;7234,36;12
67;2851;10;11;467173,24;61
68;3645;3;36;73717,29;62
69;319;5;12;9566,5;7
70;1503;7;17;115407,56;50
71;82;21;5;1395,93;9
72;4553;49;8;105275,94;6
73;69;2;10;1186,25;6
74;793;4;13;31984,79;39
75;279;5;10;7465,7;18
76;195;6;17;2867,65;15
77;21;13;3;524,76;4
78;713;3;7;31663;18
79;325;7;6;25173,63;22
80;373;3;22;11111,18;22
81;166;10;7;6312,12;8
82;1509;7;18;75701,68;42
83;213;5;3;21170,92;22
84;316;5;20;6530,72;9
85;290;41;2;5392,08;4
86;71;6;12;1297,59;8
87;30;47;1;148,29;1
88;6;54;3;87,17;2
89;344;11;13;15997,74;28
90;1068;7;18;40522,53;39
91;313;4;23;13311,28;20
92;42;48;3;741,48;4
93;14724;4;10;795810,92;28
94;181;13;2;2739,04;5
95;452;11;17;15568,93;28
96;98;7;13;1176,92;7
97;2281;6;16;251457,4;30
98;204;6;7;6524,25;10
99;492;3;44;14273,02;20
100;1677;7;16;134508,7;34
101;1907;11;13;138180,25;42
102;264;19;10;7890,94;15
103;205;3;12;9996;18
104;61;6;9;2651,49;7
105;240;4;12;13218,21;19
106;30;66;1;16,44;1
107;230;3;5;11636,04;20
108;34;18;2;1552,87;7
109;182;7;9;3270,86;6
110;3152;2;22;109332,32;48
111;524;2;19;15718,21;24
112;597;3;10;30218,41;24
113;184;12;9;1700,68;7
114;452;3;13;15926,79;27
115;70;28;4;968,78;8
116;1382;6;15;89000,57;53
117;508;3;9;18499,61;22
118;144;32;4;1297,66;3
119;202;14;9;2581,31;8
120;74;45;3;1042,36;5
121;36;9;9;1375,16;8
122;153;4;6;8945,05;12
123;221;2;35;5359,9;10
124;234;76;1;12172,86;2
125;141;4;8;5130,72;13
126;10;49;1;124,69;1
127;376;14;12;16251,02;30
128;302;18;10;7417,74;11
129;342;4;17;12714,23;24
130;1361;13;7;49103,25;15
131;105;3;22;2583,67;9
132;1681;7;16;72922,99;42
133;22;13;2;309,38;3
134;85;18;5;3051,11;9
135;22;39;4;190,55;4
136;1389;2;8;30290,52;13
137;837;1;3;89532,87;19
138;663;5;12;52859,17;22
139;84;10;6;763,44;3
140;1191;4;13;54739,72;33
141;150;5;8;5670,2;12
142;349;3;26;9298,13;13
143;222;3;16;5691,82;14
144;155;42;6;5144,86;13
145;41189;2;65;6319742,34;103
146;226;12;12;5942,56;9
147;83;4;11;2234,87;7
148;1414;5;18;91745,88;56
149;200;6;10;9678,88;18
150;278;18;8;4483,91;13
151;117;5;10;854,03;5
152;70;3;4;1226,05;5
153;270;3;4;3222,76;4
154;703;3;12;10930,32;11
155;7631;3;58;459055,86;45
156;76;5;8;878,37;6
157;177;27;9;6751,55;13
158;100;84;1;1099,9;1
159;113;7;11;4058,37;12
160;220;19;11;7581,11;9
161;50;11;4;536,39;3
162;237;4;8;5288,77;13
163;906;2;25;32039,27;30
164;20;68;1;85,22;1
165;104;10;4;563,76;3
166;58;6;10;1335,74;5
167;37;12;9;413,43;6
168;35;34;2;1034,14;4
169;152;11;5;7864,08;9
170;132;14;4;4792,79;12
171;561;4;21;19394,13;35
172;153;11;3;7841,84;13
173;65;13;19;805,58;6
174;173;6;7;1175,15;5
175;6015;42;13;61685,44;10
176;603;45;3;7177,68;5
177;30;3;9;523,66;5
178;67;19;4;1938,81;9
179;1349;3;19;47898,18;37
180;130;21;5;2144,24;4
181;1031;4;25;67709,38;38
182;1691;16;10;29748,27;14
183;22;83;1;261,18;2
184;24;41;1;174,96;1
185;605;7;10;15489,51;17
186;492;3;27;15603,6;21
187;11;67;2;260,33;3
188;1994;7;14;92115,18;23
189;170;12;5;8733,48;20
190;76;21;7;2874,69;10
191;210;63;1;4528,92;3
192;374;3;15;17933,52;39
193;43;3;7;1269,48;8
194;5;3;1;133,45;1
195;30;48;1;148,29;1
196;310;5;8;21233,56;17
197;68;7;4;1548,38;5
198;3899;2;37;210361,74;44
199;18;32;2;100,38;2
200;69;11;6;1510,53;9
201;344;62;2;6511,92;6
202;700;4;26;47927,88;28
203;177;1;3;5869,97;8
204;423;7;14;15919,92;32
205;258;3;21;5693,63;25
206;588;4;15;9448,49;14
207;179;5;3;6292,66;12
208;58;5;11;1555,38;9
209;240;10;22;3909,77;14
210;50;4;16;1157,21;5
211;266;3;6;13826,76;18
212;124;14;9;5678,1;11
213;85;18;3;1568,96;6
214;146;6;15;1621,59;8
215;136;3;9;4895,77;9
216;607;4;35;21229,71;19
217;180;1;3;5187,32;6
218;24;41;1;94,8;1
219;132;53;2;1354,09;3
220;1114;2;24;25270,98;21
221;284;7;11;9790,06;15
222;72;6;8;970,6;6
223;2691;5;13;287959,57;61
224;165;20;1;3067,35;1
225;179;3;4;7422,96;9
226;34;12;8;658,31;8
227;636;3;15;36841,14;37
228;492;1;3;26279,52;13
229;687;5;14;30920,68;26
230;42;13;4;680,38;2
231;625;4;23;22100,67;37
232;652;5;13;86669,64;26
233;141;21;5;3867,5;10
234;290;2;15;12101,2;19
235;31;25;4;319,03;4
236;838;7;17;26820,7;31
237;7818;33;3;332032,74;6
238;191;7;3;2966,16;7
239;36;9;3;783,37;5
240;311;4;18;23974,04;21
241;397;2;17;8258,09;11
242;86;12;7;794,56;4
243;1210;2;32;52025,69;26
244;472;11;13;17900,85;25
245;40;69;3;728,98;5
246;755;4;10;50024,63;34
247;906;5;14;76543,53;42
248;507;5;26;11365,45;20
249;491;5;8;23674,2;17
250;169;34;5;4556,51;8
251;427;7;19;14783,38;17
252;264;3;8;5315,03;10
253;2526;3;14;367264,7;40
254;111;5;10;1725,8;12
255;1732;6;15;107212,51;56
256;554;5;12;28136,79;30
257;154;3;15;3704,3;11
258;121;18;4;4833,1;12
259;48;12;4;294,3;4
260;111;68;4;4801,15;12
261;77;13;3;4046,3;11
262;1977;6;12;124036,52;43
263;995;6;21;43465,13;30
264;438;3;15;12548,11;22
265;426;10;6;21889,92;22
266;36;4;14;578,84;2
267;798;45;5;120516,1;47
268;945;4;20;50470,82;34
269;648;3;21;31604,13;38
270;30;4;1;273,93;1
271;36;72;1;577,92;2
272;280;3;9;5964,15;7
273;45;52;1;777;2
274;72;55;2;4987,68;11
275;36;14;2;475,9;2
276;92;2;8;1058,88;10
277;72;69;1;599,88;1
278;46;17;4;974,74;5
279;830;7;11;53832,29;32
280;779;20;15;15600,45;27
281;838;10;19;47984,74;42
282;60;73;1;281,56;1
283;36;45;3;909,8;4
284;200;24;7;2960,9;7
285;1250;6;16;67892,02;45
286;164;14;4;7462,58;7
287;109;13;3;3366,59;7
288;30;41;4;606,3;3
289;20;46;2;781,92;3
290;2177;4;28;186689,16;52
291;4;33;1;49,99;1
292;56;3;9;1342,64;7
293;1831;5;17;85888,68;54
294;2584;3;25;194548,55;58
295;52;46;1;981,24;1
296;142;20;5;1081,07;4
297;820;7;17;49656,4;52
298;56;34;6;1213,2;8
299;132;19;2;759,92;2
300;63;32;2;1430,52;2
301;273;5;12;3196,2;9
302;243;1;3;8459,7;7
303;86;10;5;1795,02;6
304;69;13;10;850,27;7
305;3;81;1;72,56;2
306;47;25;4;708,77;7
307;185;21;17;2688,48;9
308;449;3;12;21055,97;29
309;199;4;10;2551,91;8
310;1092;7;14;79058,43;42
311;888;4;14;53908,76;39
312;20;55;1;249,95;1
313;1009;7;27;29839,79;43
314;347;7;22;15631,86;18
315;10;42;1;56,03;1
316;200;55;3;1099,9;1
317;169;17;9;4478,65;17
318;194;3;13;4625,11;19
319;361;14;7;9695,37;12
320;1229;4;23;84738,19;58
321;108;6;3;3393,31;7
322;63;11;9;1042,45;6
323;365;10;7;21529,08;29
324;558;5;13;17884,42;35
325;23;16;1;641,86;2
326;231;7;11;7870,44;17
327;416;7;10;18893,61;23
328;735;4;10;38667,31;36
329;59;40;3;5002,08;10
330;288;5;10;7440,02;16
331;809;3;11;33928,58;25
332;206;25;5;2927,02;6
333;1165;3;7;76883,66;25
334;797;12;4;18690,46;10
335;638;3;9;38239,67;27
336;2181;2;39;62398,89;30
337;682;6;10;32927,37;25
338;693;4;16;31351,32;31
339;137;6;11;4313,06;11
340;30;87;1;193,23;1
341;12;74;1;130,47;1
342;64;14;3;2758,22;8
343;851;11;6;27152,31;10
344;462;4;21;11361,97;24
345;559;3;7;34635,08;21
346;420;13;3;3497,52;3
347;516;6;8;44667,22;23
348;12;47;1;247,94;2
349;50;6;1;506,82;2
350;1131;4;20;63703,52;49
351;616;6;15;39185,96;40
352;360;59;1;4949,55;2
353;522;3;24;21243;18
354;38;35;6;433,64;5
355;50;52;1;1025,16;2
356;366;4;21;11088,62;11
357;163;4;11;3299,13;8
358;298;4;25;5378,96;12
359;110;4;6;3813,61;14
360;16392;4;35;664926,51;100
361;59;18;4;3726,16;12
362;425;18;9;26582,44;16
363;1022;5;16;39409,47;40
364;922;52;3;88554,77;28
365;297;4;13;6474,4;10
366;99;18;6;2642,3;9
367;521;6;16;25645,91;26
368;576;1;3;40867,27;14
369;9;3;3;88,56;1
370;1137;4;24;97074,2;48
371;332;11;9;7422,11;17
372;54;3;2;2275,66;7
373;240;54;1;7439,4;1
374;824;3;27;32708,8;46
375;1248;5;19;93521,74;54
376;120;42;6;2187,76;9
377;444;3;21;11420,25;24
378;385;5;21;12742,92;23
379;532;5;15;36371;23
380;1504;1;7;165526,76;35
381;32;7;2;540,88;4
382;16;45;1;268,12;2
383;1497;9;19;102748,32;45
384;25;32;1;283,1;2
385;168;10;5;4111,39;11
386;1816;2;27;26988,78;33
387;318;77;1;2286,95;1
388;695;11;14;22351,99;33
389;175;5;11;6153,52;15
390;601;3;22;20533,99;19
391;74;11;10;979,88;6
392;186;5;9;7121,49;7
393;501;7;26;15946,84;18
394;681;4;26;40525,02;24
395;314;47;7;13519,64;21
396;4438;63;1;6166031,04;57
397;10;7;1;395,76;2
398;165;4;9;3953,35;8
399;193;2;9;3757,31;11
400;45822;4;15;32539936,23;130
401;61;35;2;3687,29;7
402;30;47;1;256,24;2
403;224;7;9;4270,27;8
404;873;3;24;9282,33;13
405;1566;1;4;169023,92;24
406;10;42;1;58,46;1
407;103;6;6;3486,62;8
408;81;32;2;1254,59;3
409;79;7;15;1550,04;5
410;18561;3;65;1118569,77;90
411;531;5;6;65949,45;21
412;126;7;8;2524,5;7
413;111;5;8;3603,23;9
414;453;3;9;25455,43;22
415;79;5;5;1445,92;7
416;9;54;1;59,25;1
417;257;5;11;10279,22;8
418;426;3;17;11221,6;13
419;791;5;19;56997,26;36
420;902;18;11;65904,96;37
421;383;7;17;18309,41;20
422;57;10;13;564,5;4
423;12;40;1;283,56;2
424;74;69;2;3956,3;12
425;653;5;18;24928,34;31
426;453;4;8;18616,23;15
427;451;4;15;19719,87;17
428;193;35;3;3040,86;7
429;1865;5;28;86601,45;59
430;462;5;18;20905,01;26
431;229;2;20;5995,59;10
432;24;87;1;463,84;2
433;128;5;6;2105,55;7
434;241;6;19;5052;9
435;74;49;4;1122,54;5
436;124;49;5;1810,72;6
437;74;6;30;1506,78;6
438;177;6;5;1553,46;6
439;1910;40;2;2422,77;8
440;14;48;4;126,07;3
441;586;2;35;25558,24;31
442;38;5;10;349,74;3
443;2239;11;18;188719,18;50
444;8;41;1;75,48;1
445;2698;6;8;18910,46;6
446;251;25;12;6396,41;12
447;234;3;18;6135,49;17
448;25;11;1;801,16;4
449;337;4;19;10834,76;20
450;323;13;12;8296,07;20
451;157;18;9;3905,25;12
452;90;7;9;2035,3;8
453;416;5;11;17686,6;27
454;448;66;2;40820,38;20
455;474;5;13;23913,99;24
456;16;32;3;281;4
457;286;4;14;2976,59;8
458;132;6;6;3168,52;17
459;50;14;2;356,75;2
460;26;13;3;489,99;3
461;266;5;6;21568,99;8
462;2880;3;9;11446,08;1
463;505;25;5;8007,42;5
464;15;42;2;689,94;5
465;226;5;8;4968,72;15
466;194;4;15;4965,93;18
467;6;14;1;49,99;1
468;130;3;12;2930,69;10
469;154;12;14;2645,32;9
470;376;6;14;21975,86;31
471;171;40;7;4858,63;9
472;870;33;10;4833,89;3
473;134;6;7;5241,53;14
474;183;5;12;4466,03;10
475;70;12;3;1661,71;4
476;12;5;1;107,4;1
477;432;4;21;23142,45;20
478;851;2;26;30530,76;13
479;336;75;1;6340,32;1
480;61;34;2;3290,22;8
481;5505;41;10;87831,89;15
482;380;6;13;16528,76;21
483;271;11;6;2905,96;6
484;92;10;2;871,2;3
485;171;19;4;7700,66;14
486;578;3;37;17547,96;27
487;370;7;12;21693,72;32
488;1557;3;11;79169,46;24
489;212;9;11;3593,68;17
490;47;7;5;776,72;4
491;155;4;19;4336,95;10
492;57;27;5;2288,13;10
493;36;14;3;322,2;2
494;30;10;1;203,1;1
495;10;33;2;381,8;2
496;360;9;8;31131,89;20
497;419;12;7;17589,11;16
498;96;2;7;5026,9;15
499;213;5;8;4177,31;14
500;63;21;3;1901,06;7
501;648;3;26;23444,79;40
502;903;4;26;47556,92;47
503;69;18;3;1050,7;7
504;346;4;22;9771,68;23
505;13;10;1;325,86;2
506;1559;2;16;76179,43;55
507;197;33;3;3230,55;4
508;132;6;11;4366,29;10
509;43;5;9;494,82;7
510;327;11;11;9974,5;16
511;292;7;19;10002,14;22
512;80;55;3;3372,32;5
513;9;4;3;284,41;4
514;885;5;17;57228,6;45
515;90;41;6;1678,71;6
516;76;5;8;878,37;6
517;1466;3;16;66393,86;58
518;191;77;1;33337,59;19
519;609;7;18;26350,22;28
520;849;11;6;22226,01;16
521;183;13;6;2669,25;5
522;1227;4;20;55441,15;53
523;257;3;9;11715,4;19
524;130;19;6;2640,09;5
525;437;7;22;7043,44;14
526;61;12;10;1216,07;6
527;373;40;2;8154,03;6
528;323;4;14;12431,73;16
529;173;13;9;4463,7;7
530;738;4;13;41817,35;32
531;85;7;9;1401,02;8
532;209;5;17;6589,21;14
533;278;4;14;9236,72;27
534;181;11;8;2517,43;4
535;997;6;15;54749,65;48
536;240;47;4;3199,9;5
537;110;66;2;2644,88;5
538;484;4;10;15494,56;19
539;335;10;8;2635,55;6
540;520;7;18;12967,55;25
541;210;4;1;6576,8;2
542;588;12;6;8729,42;5
543;618;5;18;8798,27;13
544;404;2;16;7054,33;12
545;747;6;3;22024,01;9
546;1049;1;3;110299,82;18
547;12;5;1;264,2;2
548;371;5;1;57359,56;47
549;36;47;1;617,98;2
550;92;3;11;1157,63;6
551;262;19;13;6926,8;15
552;571;3;11;26524,78;17
553;373;4;11;10900,52;13
554;80;7;6;2849,74;10
555;1068;4;11;11399,2;9
556;60;5;7;1128,76;7
557;8;52;1;58,58;1
558;28;7;11;483,04;5
559;12;4;1;99,98;1
560;188;5;20;2713,91;9
561;140;13;4;5017,42;12
562;30;55;1;119,23;1
563;320;54;2;8055,23;3
564;92;5;11;1935,21;5
565;110;7;9;2622,74;10
566;120;42;1;436,74;1
567;694;5;19;28333,53;25
568;994;6;9;65287,82;36
569;23;80;2;145,87;2
570;22;46;4;476,8;3
571;372;19;9;10103,49;13
572;21;19;2;119,98;2
573;28;25;2;355,99;2
574;852;5;15;39359,08;38
575;895;4;15;126093,42;49
576;185;6;14;3414,97;8
577;72;9;2;3528,72;7
578;725;3;15;32153,13;36
579;180;5;5;25266,34;25
580;965;5;18;34462,52;38
581;2;21;2;15,78;1
582;385;32;7;19272,65;12
583;91;7;9;2187,29;12
584;8;28;1;362,24;2
585;2580;4;4;54926,53;4
586;898;11;5;28946,64;11
587;26;3;2;212,14;2
588;64;39;4;648,89;2
589;401;18;6;8114,24;12
590;194;2;5;12489,9;13
591;148;12;14;1836,72;10
592;107;6;8;4001,15;7
593;42424;2;69;4913887,25;105
594;612;7;11;44265,86;36
595;1176;33;13;21438,76;31
596;46;18;8;723,82;9
597;641;5;23;21728,42;19
598;182;20;10;3786,27;15
599;693;5;16;25026,56;30
600;533;2;21;9173,21;11
601;422;4;11;17958,07;34
602;13;6;2;54,55;2
603;266;5;15;14625,99;20
604;15;70;1;8,22;1
605;12;56;1;113,22;1
606;226;42;2;29800;23
607;308;9;21;12031,19;20
608;300;4;2;6999,14;3
609;851;2;13;36543,55;22
610;23;28;3;214,02;3
611;82;13;7;1308,4;5
612;334;27;10;3516,8;8
613;348;3;10;22681,99;17
614;802;4;14;42685,6;25
615;6;3;1;59,04;1
616;59;33;3;1253,43;4
617;153;21;8;2219,76;9
618;154;6;4;1821,44;5
619;16;6;4;476,17;2
620;100;53;1;389,75;1
621;295;7;10;5459,98;8
622;501;4;11;34773,63;29
623;319;5;12;9566,5;7
624;609;9;2;75576,31;20
625;249;6;1;33891,9;21
626;409;3;22;13890,79;12
627;829;5;12;47589,88;27
628;6;25;1;49,99;1
629;306;3;20;2669,32;10
630;1788;4;16;24040,96;16
631;12;3;2;69,34;2
632;180;6;12;6622,84;16
633;16;58;1;337,2;3
634;356;5;20;11757,76;25
635;155;12;8;5097,82;9
636;374;7;19;7470,72;7
637;117;45;2;1347,36;3
638;37;34;1;2353,96;4
639;419;12;3;47288,16;28
640;297;4;17;7056,07;7
641;108;13;6;3748,34;13
642;960;5;3;5359,8;2
643;270;7;12;17550,35;18
644;18;48;2;856,47;2
645;85;13;4;2494,91;9
646;38;39;4;355,96;3
647;26;89;1;259,56;2
648;202;4;10;3925,34;13
649;417;42;7;26944,74;20
650;268;5;4;8330,38;6
651;14;5;5;190,7;5
652;4583;1;62;146783,76;41
653;3564;4;36;132322,71;33
654;224;10;4;18670,41;16
655;255;48;2;1334,37;2
656;495;6;18;14419,81;33
657;153;10;4;2103,76;7
658;396;7;12;15963,75;18
659;498;7;24;18689,9;24
660;111;3;7;3041,54;13
661;298;10;17;7018,58;8
662;711;3;11;56469,19;44
663;578;6;13;26605,82;32
664;82;2;8;1215,63;5
665;4;61;1;37,74;1
666;272;6;13;7558,83;13
667;369;18;16;13630,23;22
668;465;3;12;20418,93;18
669;2811;3;55;51545,76;40
670;62;42;8;1253,38;7
671;8;25;1;96,98;1
672;567;4;13;9852,13;19
673;661;3;11;23325,34;19
674;1648;5;16;161603,86;47
675;188;5;12;7667,15;8
676;323;1;3;12149,47;8
677;366;7;12;21566,29;19
678;44;35;4;385,94;3
679;1711;12;16;128976,58;50
680;797;6;11;13192,55;13
681;42583;2;61;6538312,08;100
682;2;73;1;37,18;1
683;24;73;1;429,6;2
684;190;69;1;3568,1;2
685;282;6;18;8242,13;14
686;61;3;8;2173,11;7
687;35;3;5;741,39;6
688;82;41;3;2460,26;5
689;6630;4;26;286682,22;80
690;655;5;14;36381,7;34
691;20;54;1;573,66;3
692;374;2;32;20572,07;17
693;554;21;15;17710,41;21
694;429;3;10;13845,82;25
695;18;11;2;192,42;2
696;41;17;4;894,8;7
697;49;14;7;373,6;3
698;417;7;9;24404,75;23
699;177;5;14;2291,94;11
700;94;55;2;2451,87;4
701;536;5;13;24344,84;25
702;355;7;13;7441,68;11
703;154;10;4;2921,74;8
704;87;56;5;1863,75;6
705;2963;3;41;71831,96;43
706;300;4;2;6999,14;3
707;52;12;6;1131,18;6
708;153;13;13;2812,06;21
709;72;5;11;2695,89;9
710;58;40;5;560,23;6
711;49;5;7;585,05;7
712;410;6;15;12652,32;37
713;540;16;14;22534,92;14
714;212;3;11;5591,82;15
715;931;5;13;31876,83;38
716;194;5;8;6583;13
717;799;11;7;13767,12;15
718;12;6;2;182,24;2
719;148;7;15;2974,93;12
720;69;4;6;3292,09;9
721;303;7;5;3701,02;9
722;50;35;3;2706,79;7
723;30;88;1;427,66;2
724;54;2;3;1036,29;3
725;294;6;12;17959,06;25
726;39;24;4;689,98;7
727;607;6;14;9282,66;15
728;151;10;10;2500,82;12
729;68;2;6;595,58;2
730;2684;46;4;39361,26;7
731;100;3;2;565,69;2
732;946;10;17;28362,6;23
733;59;30;11;1214,61;8
734;61;12;10;1216,07;6
735;81;5;2;1303,58;4
736;437;11;8;19620,17;24
737;954;3;26;19262,05;32
738;139;7;14;3339;8
739;143;7;3;3724,87;6
740;101;9;4;1965,65;8
741;90;3;10;3868,92;12
742;284;7;11;12529,15;15
743;4;3;1;37,74;1
744;1169;6;11;83941,07;43
745;877;3;13;41848,83;40
746;432;1;3;13924,72;10
747;1255;5;14;43522,34;45
748;78;4;8;1275,44;7
749;499;4;24;30801,35;24
750;243;5;12;8967,4;21
751;270;7;19;8006,09;15
752;72;6;9;2246,53;11
753;204;17;7;4669,45;16
754;35;3;14;483,92;4
755;300;4;2;6999,14;3
756;65;7;11;904,14;7
757;300;4;2;6999,14;3
758;10;25;1;56,03;1
759;839;5;13;64598,08;21
760;1386;4;29;50410,74;39
761;352;18;2;13366,85;12
762;29;7;7;415,96;4
763;1259;3;9;67930,2;31
764;35;2;16;718,11;7
765;99;5;2;4103,49;7
766;643;12;13;47816,01;38
767;680;51;1;3399,66;1
768;115;2;11;3170;11
769;572;7;10;43445,58;42
770;90;41;6;1589,2;11
